calories,420 calories,1
carbohydrate,16 grams,1
cholesterol,100 milligrams,1
fat,26 grams,1
protein,30 grams,1
saturatedFat,6 grams,1
sodium,760 milligrams,1
sugar,4 grams,1
calories,270 calories,2
carbohydrate,21 grams,2
cholesterol,60 milligrams,2
fat,13 grams,2
protein,16 grams,2
saturatedFat,7 grams,2
sodium,860 milligrams,2
sugar,8 grams,2
calories,340 calories,3
carbohydrate,39 grams,3
cholesterol,95 milligrams,3
fat,4.5 grams,3
fiber,1 grams,3
protein,32 grams,3
saturatedFat,1.5 grams,3
sodium,1440 milligrams,3
sugar,26 grams,3
calories,290 calories,4
carbohydrate,34 grams,4
fat,14 grams,4
fiber,9 grams,4
protein,9 grams,4
saturatedFat,2 grams,4
sodium,220 milligrams,4
calories,500 calories,5
carbohydrate,29 grams,5
cholesterol,100 milligrams,5
fat,35 grams,5
fiber,2 grams,5
protein,19 grams,5
saturatedFat,21 grams,5
sodium,700 milligrams,5
sugar,4 grams,5
calories,250 calories,6
carbohydrate,5 grams,6
cholesterol,100 milligrams,6
fat,17 grams,6
fiber,4 grams,6
protein,20 grams,6
saturatedFat,3.5 grams,6
sodium,370 milligrams,6
sugar,1 grams,6
calories,270 calories,7
carbohydrate,6 grams,7
cholesterol,75 milligrams,7
fat,17 grams,7
fiber,2 grams,7
protein,25 grams,7
saturatedFat,3 grams,7
sodium,140 milligrams,7
calories,230 calories,8
carbohydrate,15 grams,8
cholesterol,90 milligrams,8
fat,16 grams,8
protein,8 grams,8
saturatedFat,7 grams,8
sodium,1050 milligrams,8
sugar,4 grams,8
,,9
calories,1440 calories,10
carbohydrate,83 grams,10
cholesterol,315 milligrams,10
fat,94 grams,10
fiber,3 grams,10
protein,63 grams,10
saturatedFat,35 grams,10
sodium,3760 milligrams,10
sugar,60 grams,10
calories,340 calories,11
carbohydrate,4 grams,11
cholesterol,80 milligrams,11
fat,28 grams,11
protein,19 grams,11
saturatedFat,9 grams,11
sodium,830 milligrams,11
sugar,2 grams,11
calories,420 calories,12
carbohydrate,4 grams,12
cholesterol,170 milligrams,12
fat,21 grams,12
protein,50 grams,12
saturatedFat,8 grams,12
sodium,550 milligrams,12
sugar,1 grams,12
calories,590 calories,13
carbohydrate,78 grams,13
cholesterol,60 milligrams,13
fat,29 grams,13
fiber,6 grams,13
protein,9 grams,13
saturatedFat,18 grams,13
sodium,170 milligrams,13
sugar,37 grams,13
calories,210 calories,14
carbohydrate,3 grams,14
cholesterol,180 milligrams,14
fat,12 grams,14
protein,23 grams,14
saturatedFat,3 grams,14
sodium,380 milligrams,14
,,15
calories,240 calories,16
carbohydrate,28 grams,16
cholesterol,30 milligrams,16
fat,12 grams,16
fiber,8 grams,16
